stateDt,accExamCnt
20210227,6627215
20210228,6649006
20210301,6665755
20210302,6681976
20210303,6716203
20210304,6751900
20210305,6789011
20210306,6821943
20210307,6843126
20210308,6861809
20210309,6902984
20210310,6938884
20210311,6976985
20210312,7012664
20210313,7046782
20210314,7066401
20210315,7084940
20210316,7126077
20210317,7171510
20210318,7218087
20210319,7264941
20210320,7308950
20210321,7332714
20210322,7355964
20210323,7400990
20210324,7441210
20210325,7485859
20210326,7529403
20210327,7572568
20210328,7595596
20210329,7616331
20210330,7663999
20210331,7707800
20210401,7747303
20210402,7788295
20210403,7829601
20210404,7849476
20210405,7868820
20210406,7921290
20210407,7966167
20210408,8012421
20210409,8059113
20210410,8106630
20210411,8129532
20210412,8152783
20210413,8200519
20210414,8245388
20210415,8291126
20210416,8333332
20210417,8377779
20210418,8396067
20210419,8414821
20210420,8458592
20210421,8497594
20210422,8537505
20210423,8583530
20210424,8632923
20210427,8721609
20210428,8766498
20210429,8805779
20210430,8848292
20210501,8883388
20210502,8898234
20210503,8915326
20210504,8957155
20210505,8994069
20210506,9010992
20210507,9051354
20210508,9089166
20210509,9105771
20210510,9122059
20210511,9164284
20210512,9201539
20210513,9241153
20210514,9281291
20210515,9319094
20210516,9336614
20210517,9353300
20210518,9395004
20210519,9428644
20210520,9447358
20210521,9487108
20210522,9520966
20210523,9536299
20210524,9553613
20210525,9592727
20210526,9629458
20210527,9665693
20210528,9702456
20210529,9733591
20210530,9747614
20210531,9761158
20210601,9798402
20210602,9834350
20210603,9872324
20210604,9911324
20210605,9945954
20210606,9959697
20210607,9972297
20210608,10008584
20210609,10044783
20210610,10076862
20210611,10111064
20210612,10140535
20210613,10152907
20210614,10165497
20210615,10196470
20210616,10229384
20210617,10257836
20210618,10294048
20210619,10323154
20210620,10335634
20210621,10346047
20210622,10380043
20210623,10409949
20210624,10438782
20210625,10466545
20210626,10495516
20210627,10508678
20210628,10520929
20210629,10555741
20210630,10579072
20210701,10614317
20210702,10641603
20210703,10670617
20210704,10685125
20210705,10700134
20210706,10735716
20210707,10766502
20210708,10802782
20210709,10844217
20210710,10881640
20210712,10919898
20210713,10964299
20210714,11008859
20210715,11060456
20210716,11108584
20210717,11149226
20210718,11175981
20210719,11202434
20210720,11251987
20210721,11298677
20210722,11343918
20210723,11388305
20210724,11430525
20210725,11433347
20210726,11472346
20210727,11528609
20210728,11585615
20210729,11637506
20210730,11682968
20210731,11728821
20210801,11751786
20210802,11772605
20210803,11820016
20210804,11864245
20210805,11908436
20210806,11951652
20210807,11995928
20210808,12027443
20210809,12057831
20210810,12112086
20210811,12156200
20210812,12207242
20210813,12257967
20210814,12309280
20210815,12344718
20210816,12372777
20210817,12404977
20210818,12461685
20210819,12518704
20210820,12567009
20210821,12632601
20210822,12664343
20210823,12694029
20210824,12749758
20210825,12806613
20210826,12866802
20210827,12927795
20210828,12983492
20210829,13015927
20210830,13049684
20210831,13094718
20210901,13152146
20210902,13223515
20210903,13286682
20210904,13350361
20210905,13382738
20210906,13416748
20210907,13468416
20210908,13519670
20210909,13568873
20210910,13615058
20210911,13665463
20210913,13735743
20210914,13790229
20210917,13938959
20210918,13986616
20210919,14020498
20210920,14050975
20210921,14081284
20210922,14112435
20210923,14151069
20210924,14221685
20210925,14285340
20210926,14325938
20210927,14365935
20210928,14425573
20210929,14485260
20210930,14544258
20211001,14596224
20211002,14644697
20211003,14675127
20211004,14701224
20211005,14731640
20211006,14780951
20211007,14833978
20211008,14882201
20211011,14977419
20211012,15007584
20211013,15062420
20211014,15106366
20211015,15152526
20211016,15198192
20211017,15220868
20211018,15246350
20211019,15296834
20211020,15344732
20211021,15392007
20211022,15437387
20211023,15481473
20211024,15504985
20211025,15530478
20211027,15628311
20211028,15678187
20211029,15730786
20211030,15775700
20211031,15804065
20211101,15849304
20211102,15905189
20211103,15953529
20211104,16001232
20211105,16051669
20211106,16099189
20211107,16130874
20211108,16160835
20211109,16212873
20211110,16261879
20211111,16312775
20211112,16361032
20211115,16470974
20211116,16525392
20211118,16631274
20211119,16684170
20211120,16740128
20211121,16777682
20211122,16816619
20211123,16878959
20211124,16939927
20211125,16998739
20211126,17056012
20211127,17115763
20211128,17158547
20211129,17200333
20211130,17265265
20211202,17391434
20211205,17577570
20211207,17709512
20211208,17787657
20211209,17870821
20211210,17950721
20211213,18140572
20211214,18224740
20211215,18298675
20211216,18381569
20211217,18460563
20211218,18539009
20211219,18593165
20211220,18645857
20211221,18718803
20211222,18786344
20211223,18859285
20211224,18929158
20211225,18994820
20211226,19040194
20211227,19082135
20211228,19141481
20211229,19196738
20211230,19251165
20211231,19309072
20220101,19364122
20220102,19456900
20220103,19546883
20220104,19671880
20220105,19778824
20220106,19875047
20220107,19971712
20220110,20148476
20220111,20081639
20220112,20277357
20220113,20329715
20220114,20389154
20220115,20446099
20220116,20489023
20220117,20527722
20220118,20588481
20220119,20649522
20220120,20709568
20220121,20765930
20220122,20838500
20220123,20892539
20220124,20943638
20220125,21026346
20220126,21110639
20220127,21196354
20220128,21269304
20220129,21377393
20220130,21448119
20220131,21518073
20220201,21595841
20220202,21654236
20220203,21733998
20220204,21828007
20220208,22072870
