,stateDt,decideCnt,deathCnt
24,20230322,30728057.0,34187.0
23,20230323,30739457.0,34201.0
22,20230324,30749740.0,34211.0
21,20230325,30759895.0,34217.0
20,20230327,30773460.0,34223.0
19,20230328,30785589.0,34231.0
18,20230329,30798723.0,34245.0
17,20230330,30809762.0,34255.0
16,20230331,30820130.0,34265.0
15,20230401,30829827.0,34270.0
14,20230403,30843900.0,34281.0
13,20230404,30857275.0,34289.0
12,20230405,30871740.0,34296.0
11,20230407,30894559.0,34318.0
10,20230408,30904502.0,34322.0
9,20230410,30918060.0,34332.0
8,20230411,30930504.0,34342.0
7,20230412,30944430.0,34356.0
6,20230413,30956026.0,34361.0
5,20230414,30967692.0,34366.0
4,20230415,30978954.0,34368.0
3,20230417,30994088.0,34376.0
2,20230418,31009261.0,34386.0
1,20230419,31025769.0,34392.0
0,20230420,31039863.0,34401.0
